distance_mm,az_deg,el_deg,gain_floor,score,success,amp_00,amp_01,amp_02,amp_03,amp_04,amp_05,amp_06,amp_07,amp_08,amp_09,amp_10,amp_11,amp_12,amp_13,amp_14,amp_15,amp_16,amp_17,amp_18,amp_19,amp_20,amp_21,amp_22,amp_23,amp_24,amp_25,amp_26,amp_27,amp_28,amp_29,amp_30,amp_31,amp_32,amp_33,amp_34,amp_35,amp_36,amp_37,amp_38,amp_39,amp_40,amp_41,amp_42,amp_43,amp_44,amp_45,amp_46,amp_47,amp_48,amp_49,amp_50,amp_51,amp_52,amp_53,amp_54,amp_55,amp_56,amp_57,amp_58,amp_59
1000,5.000,0.000,0.500,-20.224535,0,0.155907,0.999723,0.312546,0.310642,0.000000,0.000000,0.000000,0.220905,0.999859,0.464411,0.000000,0.866782,0.635721,0.969433,0.464074,0.603408,0.689787,0.351704,0.382877,0.352618,0.101711,0.170540,0.300669,0.340637,0.773183,0.999948,0.941292,0.901901,0.973776,0.448823,0.569502,0.514638,0.427258,0.329953,0.326765,0.241673,0.320290,0.796668,0.694075,0.694777,0.291841,0.390411,0.309069,0.000000,0.000000,0.537397,0.052535,0.454194,0.000000,0.152279,0.750114,0.545386,0.999552,0.999953,0.000000,0.000000,0.843858,0.000000,0.000000,0.502546
1000,10.000,0.000,0.500,-21.068906,0,0.064728,0.999976,0.907365,0.159451,0.088632,0.000000,0.000000,0.000000,0.854787,0.548197,0.000000,0.999994,0.665533,0.982784,0.518854,0.678459,0.879038,0.477561,0.502487,0.374401,0.166639,0.181805,0.318181,0.376857,0.839198,0.981833,0.955628,0.794629,0.840775,0.351886,0.529845,0.434780,0.326612,0.403281,0.240600,0.334058,0.000000,0.499073,0.537849,0.668615,0.099639,0.464814,0.083755,0.000000,0.000000,0.568563,0.000000,0.296920,0.664218,0.999467,0.000000,0.999875,1.000000,0.998938,0.055752,0.999530,0.999998,0.000000,0.700244,0.998824
1000,15.000,0.000,0.500,-20.475625,0,0.238861,0.999995,0.691632,0.322449,0.564449,0.034314,0.121524,0.000000,0.548923,0.770345,0.000000,0.999963,0.658387,0.998614,0.623769,0.748948,0.801579,0.526566,0.513324,0.417243,0.278979,0.082523,0.325840,0.268605,0.677251,0.970274,0.954435,0.637826,0.648407,0.354706,0.454730,0.319270,0.082740,0.467968,0.246045,0.423270,0.000000,0.339166,0.317855,0.677979,0.263567,0.641433,0.000000,0.000000,0.000000,0.244031,0.000000,0.200208,0.999978,0.869270,0.999962,0.263605,0.999977,0.889135,0.887300,0.999673,0.999888,0.000000,0.999918,0.992165
1000,20.000,0.000,0.500,-20.942914,0,0.485625,0.999989,0.585754,0.437191,0.628575,0.347203,0.176966,0.000000,0.543876,0.796982,0.049242,0.726142,0.577263,0.998857,0.718701,0.748925,0.794211,0.440347,0.488208,0.507193,0.206530,0.108978,0.381952,0.231275,0.681592,0.946164,0.885359,0.723623,0.522060,0.437825,0.341254,0.231273,0.160472,0.532259,0.011956,0.332510,0.000000,0.000000,0.143044,0.419454,0.000000,0.015220,0.000000,0.000000,0.000000,0.162756,0.000000,0.284061,0.999997,0.826300,1.000000,0.000000,0.999981,0.000000,1.000000,0.999980,0.668792,0.911891,0.999999,1.000000
1000,25.000,0.000,0.500,-20.438238,0,0.573118,0.999997,0.698149,0.664508,0.795302,0.272581,0.251425,0.120425,0.463424,0.686470,0.152859,0.671248,0.443541,0.871328,0.642529,0.728955,0.725832,0.361085,0.457456,0.468000,0.311933,0.279394,0.293834,0.211098,0.569206,0.999994,0.969653,0.535981,0.447711,0.617156,0.364199,0.039585,0.027878,0.231624,0.000000,0.432763,0.000000,0.000000,0.202823,0.549203,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.014703,0.999976,1.000000,0.999998,0.167363,0.408233,0.000000,0.999984,1.000000,0.002619,0.999984,1.000000,0.999570
1000,30.000,0.000,0.500,-20.925210,0,0.615384,1.000000,0.644625,0.729334,0.876450,0.080737,0.418863,0.364804,0.354068,0.487262,0.283842,0.584090,0.499095,0.709704,0.591382,0.714702,0.731175,0.353828,0.492158,0.370355,0.548336,0.260326,0.200309,0.205391,0.302205,0.940689,0.999958,0.417677,0.210763,0.383508,0.160522,0.000000,0.000000,0.335605,0.000000,0.443797,0.253192,1.000000,0.239501,1.000000,0.000000,0.000000,0.000000,0.293129,0.999970,0.316086,0.000000,0.287175,0.999971,0.999990,0.999929,0.999990,1.000000,1.000000,0.999880,0.999764,0.075860,0.864565,0.999971,0.999983
2000,-30.000,0.000,0.500,-20.770538,0,0.999994,0.000000,0.999952,0.999999,1.000000,0.454538,1.000000,1.000000,1.000000,0.999995,0.956339,0.000000,0.999880,1.000000,0.999999,1.000000,0.999960,1.000000,0.539166,1.000000,0.999951,1.000000,1.000000,1.000000,0.281823,1.000000,0.338811,0.182126,0.063592,0.000000,0.000000,0.181888,0.012596,0.183206,0.000000,0.287107,0.632313,0.786400,0.792328,0.691172,0.749807,0.457853,0.365166,0.602207,0.387981,0.174216,0.374098,0.292303,0.701942,0.919559,0.752976,0.787480,0.702050,0.488498,0.432200,0.314931,0.000000,0.413153,0.113106,0.181866
2000,-25.000,0.000,0.500,-20.691396,0,0.999940,0.999047,1.000000,0.000001,1.000000,0.000000,0.999992,0.004741,0.093157,1.000000,0.999987,0.204417,0.000093,1.000000,0.999639,0.999994,1.000000,0.670631,0.000000,0.999618,0.999996,0.000000,0.497523,0.868203,0.589614,0.999850,0.608512,0.272713,0.266323,0.294811,0.133001,0.257978,0.000000,0.264524,0.000000,0.255872,0.764741,0.878369,0.999380,0.707937,0.796789,0.454337,0.502419,0.670510,0.293748,0.236629,0.432895,0.187225,0.470125,0.703321,0.729698,0.733119,0.678638,0.552387,0.427683,0.145872,0.046299,0.449096,0.091358,0.617650
2000,-20.000,0.000,0.500,-20.868436,0,1.000000,1.000000,1.000000,1.000000,1.000000,0.441642,0.999999,1.000000,0.733427,1.000000,1.000000,1.000000,0.000000,0.999992,0.000000,0.666500,0.000000,0.000000,0.000000,0.316130,0.000000,0.000000,0.000000,0.000000,0.749695,0.932047,0.855096,0.411117,0.445671,0.215994,0.255445,0.469510,0.422691,0.122267,0.049458,0.292611,0.680291,0.738819,0.786106,0.670628,0.810388,0.534053,0.420268,0.402846,0.248114,0.423142,0.398527,0.136326,0.281756,0.856344,0.814109,0.814835,0.448341,0.468344,0.285213,0.152754,0.000000,0.412335,0.042729,0.606472
2000,-15.000,0.000,0.500,-20.862446,0,0.999993,1.000000,0.999872,1.000000,0.999992,0.440143,0.999973,1.000000,0.999918,0.999991,1.000000,0.999998,0.000000,0.999999,0.030835,0.405429,0.000000,0.000000,0.000000,0.285305,0.000000,0.001938,0.000000,0.457898,0.703694,0.999895,0.832262,0.495472,0.672128,0.447360,0.381602,0.401869,0.501051,0.316924,0.154045,0.372096,0.763471,0.655359,0.659238,0.713154,0.726028,0.356979,0.427522,0.346686,0.089792,0.454566,0.341548,0.213493,0.014975,0.999920,0.697161,0.744581,0.515598,0.692768,0.284314,0.145220,0.000000,0.346680,0.103747,0.735718
