distance_m,az_deg,el_deg,mode,peak_offset_az_deg,peak_offset_el_deg,peak_offset_deg,peak_db,max_sidelobe_offset_az_deg,max_sidelobe_offset_el_deg,max_sidelobe_offset_deg,max_sidelobe_db,peak_direction_pass
0.5,5.0,0.0,optimized_table,0.000000,0.000000,0.000000,0.000000,0.000000,8.181818,8.181818,-12.919671,1
0.5,5.0,0.0,optimized_aggressive,0.000000,0.000000,0.000000,0.000000,0.000000,8.181818,8.181818,-12.839880,1
0.5,10.0,0.0,uniform,0.000000,0.000000,0.000000,0.000000,18.000000,14.727273,23.257097,-9.776528,1
0.5,10.0,0.0,unit_cosine,0.000000,0.000000,0.000000,0.000000,-18.000000,-14.727273,23.257097,-10.868999,1
0.5,10.0,0.0,unit_cosine_hamming,0.000000,0.000000,0.000000,0.000000,0.000000,-8.181818,8.181818,-5.480852,1
0.5,10.0,0.0,optimized_dbc_margin,0.000000,0.000000,0.000000,0.000000,-9.818182,18.000000,20.503578,-13.256834,1
0.5,10.0,0.0,optimized_table,0.000000,0.000000,0.000000,0.000000,0.000000,-8.181818,8.181818,-13.046560,1
0.5,10.0,0.0,optimized_aggressive,0.000000,0.000000,0.000000,0.000000,0.000000,8.181818,8.181818,-12.944127,1
0.5,14.999999999999998,0.0,uniform,0.000000,0.000000,0.000000,0.000000,18.000000,14.727273,23.257097,-10.519359,1
0.5,14.999999999999998,0.0,unit_cosine,0.000000,0.000000,0.000000,0.000000,-18.000000,-14.727273,23.257097,-11.073711,1
0.5,14.999999999999998,0.0,unit_cosine_hamming,0.000000,0.000000,0.000000,0.000000,0.000000,-8.181818,8.181818,-5.521997,1
0.5,14.999999999999998,0.0,optimized_dbc_margin,0.000000,0.000000,0.000000,0.000000,-9.818182,18.000000,20.503578,-13.703863,1
0.5,14.999999999999998,0.0,optimized_table,0.000000,0.000000,0.000000,0.000000,0.000000,-8.181818,8.181818,-13.192386,1
0.5,14.999999999999998,0.0,optimized_aggressive,0.000000,0.000000,0.000000,0.000000,0.000000,-8.181818,8.181818,-13.452015,1
0.5,20.0,0.0,uniform,0.000000,0.000000,0.000000,0.000000,18.000000,14.727273,23.257097,-11.564856,1
0.5,20.0,0.0,unit_cosine,0.000000,0.000000,0.000000,0.000000,-18.000000,-14.727273,23.257097,-11.191476,1
0.5,20.0,0.0,unit_cosine_hamming,0.000000,0.000000,0.000000,0.000000,0.000000,-8.181818,8.181818,-5.598638,1
0.5,20.0,0.0,optimized_dbc_margin,0.000000,0.000000,0.000000,0.000000,8.181818,-18.000000,19.772257,-13.902229,1
0.5,20.0,0.0,optimized_table,0.000000,0.000000,0.000000,0.000000,0.000000,-8.181818,8.181818,-13.598397,1
0.5,20.0,0.0,optimized_aggressive,0.000000,0.000000,0.000000,0.000000,0.000000,-8.181818,8.181818,-14.193313,1
0.5,25.0,0.0,uniform,0.000000,0.000000,0.000000,0.000000,18.000000,14.727273,23.257097,-11.934053,1
0.5,25.0,0.0,unit_cosine,0.000000,0.000000,0.000000,0.000000,-9.818182,18.000000,20.503578,-10.893214,1
0.5,25.0,0.0,unit_cosine_hamming,0.000000,0.000000,0.000000,0.000000,-9.818182,0.000000,9.818182,-5.520479,1
0.5,25.0,0.0,optimized_dbc_margin,0.000000,0.000000,0.000000,0.000000,-9.818182,18.000000,20.503578,-14.067898,1
0.5,25.0,0.0,optimized_table,0.000000,0.000000,0.000000,0.000000,0.000000,-8.181818,8.181818,-13.872635,1
0.5,25.0,0.0,optimized_aggressive,0.000000,0.000000,0.000000,0.000000,8.181818,0.000000,8.181818,-12.486677,1
0.5,29.999999999999996,0.0,uniform,0.000000,0.000000,0.000000,0.000000,18.000000,14.727273,23.257097,-12.080741,1
0.5,29.999999999999996,0.0,unit_cosine,0.000000,0.000000,0.000000,0.000000,-9.818182,18.000000,20.503578,-10.980184,1
0.5,29.999999999999996,0.0,unit_cosine_hamming,0.000000,0.000000,0.000000,0.000000,-9.818182,0.000000,9.818182,-5.461908,1
0.5,29.999999999999996,0.0,optimized_dbc_margin,0.000000,0.000000,0.000000,0.000000,8.181818,0.000000,8.181818,-13.747226,1
0.5,29.999999999999996,0.0,optimized_table,0.000000,0.000000,0.000000,0.000000,8.181818,0.000000,8.181818,-14.047063,1
