distance_mm,az_deg,el_deg,gain_floor,score,success,amp_00,amp_01,amp_02,amp_03,amp_04,amp_05,amp_06,amp_07,amp_08,amp_09,amp_10,amp_11,amp_12,amp_13,amp_14,amp_15,amp_16,amp_17,amp_18,amp_19,amp_20,amp_21,amp_22,amp_23,amp_24,amp_25,amp_26,amp_27,amp_28,amp_29,amp_30,amp_31,amp_32,amp_33,amp_34,amp_35,amp_36,amp_37,amp_38,amp_39,amp_40,amp_41,amp_42,amp_43,amp_44,amp_45,amp_46,amp_47,amp_48,amp_49,amp_50,amp_51,amp_52,amp_53,amp_54,amp_55,amp_56,amp_57,amp_58,amp_59
1000,10.000,0.000,0.250,-21.130496,0,0.004040,0.796185,0.726672,0.083878,0.151117,0.013690,0.053159,0.000000,0.506411,0.174300,0.011081,0.575062,0.335553,0.365587,0.215119,0.330158,0.405903,0.186210,0.232850,0.173592,0.133423,0.109932,0.182636,0.192857,0.397794,0.457681,0.445011,0.354959,0.423499,0.168783,0.264170,0.189019,0.139558,0.181299,0.081161,0.156785,0.000000,0.197829,0.228980,0.336103,0.000000,0.101452,0.000000,0.000000,0.000000,0.266914,0.000000,0.134953,0.631871,0.982010,0.000000,1.000000,0.998345,0.519905,0.340934,0.996573,0.999087,0.142713,0.360907,0.883799
1000,15.000,0.000,0.250,-21.124441,0,0.056039,0.830579,0.469567,0.124936,0.360213,0.297772,0.139071,0.000000,0.356349,0.320924,0.025531,0.523602,0.294827,0.372455,0.272796,0.310747,0.345339,0.184279,0.216886,0.166850,0.043874,0.046541,0.188553,0.137786,0.322695,0.456176,0.444498,0.313147,0.311403,0.162063,0.205473,0.145273,0.064787,0.191814,0.081048,0.209873,0.000000,0.083197,0.091866,0.358266,0.148859,0.156757,0.000000,0.000000,0.000000,0.184157,0.000000,0.110438,0.999762,0.724243,0.733926,0.505824,0.999936,0.063738,0.887352,0.999975,1.000000,0.000000,0.999783,0.496062
1000,20.000,0.000,0.250,-21.598623,0,0.231246,0.708981,0.494914,0.203536,0.339533,0.389715,0.121153,0.000000,0.354522,0.327959,0.036266,0.313555,0.246656,0.387138,0.292864,0.317303,0.303193,0.171947,0.213077,0.203001,0.000000,0.034121,0.158109,0.081281,0.321723,0.487972,0.393285,0.321070,0.264019,0.192776,0.170129,0.150026,0.129763,0.219899,0.010237,0.154731,0.000000,0.000000,0.062744,0.185758,0.000000,0.066303,0.000000,0.000000,0.000000,0.080195,0.000000,0.171328,1.000000,0.003595,1.000000,0.000000,0.999791,0.000000,0.999868,1.000000,0.000000,0.746646,1.000000,0.926280
1000,25.000,0.000,0.250,-21.062594,0,0.287671,0.622756,0.435859,0.416529,0.412266,0.241338,0.120321,0.074904,0.262089,0.271786,0.103971,0.258043,0.154915,0.298760,0.231246,0.267408,0.271363,0.173390,0.173862,0.180902,0.050537,0.144836,0.136530,0.094400,0.240095,0.476654,0.469447,0.257905,0.247110,0.294521,0.217000,0.049568,0.000000,0.079193,0.000000,0.179932,0.000000,0.000000,0.128431,0.191778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.049254,0.772930,1.000000,0.999962,0.403282,0.110214,0.000000,0.999109,1.000000,0.000000,0.948176,1.000000,0.833119
1000,30.000,0.000,0.250,-22.170426,0,0.280565,0.478373,0.349000,0.388149,0.388631,0.016824,0.224433,0.257486,0.154516,0.193899,0.142202,0.207841,0.180037,0.248291,0.154989,0.209351,0.262194,0.229179,0.194394,0.155170,0.238611,0.144298,0.094617,0.111796,0.168322,0.370843,0.574069,0.234426,0.181973,0.000000,0.129809,0.026758,0.000000,0.144064,0.000000,0.149892,0.099594,0.999641,0.178920,0.287545,0.000000,0.000000,0.191160,0.115532,0.717675,0.023017,0.000000,0.344572,1.000000,0.999765,0.995532,0.999636,0.999664,0.999992,1.000000,0.999933,0.301512,0.391803,0.851643,0.815906
2000,-30.000,0.000,0.250,-21.964558,0,0.968651,0.000000,0.976239,0.515706,0.999999,0.000000,0.999913,0.999918,0.849903,0.350562,0.972640,0.000000,0.999928,0.999918,1.000000,1.000000,0.817826,0.727045,0.650679,0.999993,0.697754,0.999683,0.795797,0.424674,0.184994,0.428450,0.174701,0.079881,0.015992,0.000000,0.000000,0.147385,0.000000,0.021102,0.000000,0.088009,0.276765,0.324656,0.370971,0.292311,0.293861,0.197782,0.187175,0.254839,0.149532,0.099030,0.146590,0.079999,0.260634,0.436220,0.326001,0.304141,0.269800,0.364593,0.229180,0.147531,0.014087,0.114894,0.018882,0.015993
2000,-25.000,0.000,0.250,-21.212109,0,1.000000,0.987539,0.999994,0.102705,0.778112,0.000000,0.999997,0.255703,0.000000,0.895251,0.919676,0.000000,0.483814,0.972481,0.739472,0.991825,0.922380,0.491589,0.010090,0.819297,0.769632,0.154083,0.360685,0.329201,0.244395,0.451575,0.316915,0.063286,0.057831,0.121689,0.044912,0.129959,0.000000,0.057859,0.000000,0.102917,0.337398,0.353838,0.459324,0.304207,0.376060,0.224701,0.266933,0.320846,0.157507,0.110223,0.185289,0.072807,0.211665,0.301320,0.282776,0.288516,0.358172,0.350999,0.182439,0.049726,0.000000,0.169137,0.086595,0.346273
2000,-20.000,0.000,0.350,-21.482712,0,0.999823,0.999974,0.999963,0.999978,0.999899,0.142650,0.993068,0.999928,0.528461,0.877604,1.000000,0.999998,0.000000,0.701826,0.000000,0.433685,0.023607,0.000000,0.000000,0.186406,0.000000,0.000000,0.000000,0.000000,0.491736,0.607100,0.575490,0.290436,0.283776,0.183048,0.160087,0.359214,0.288024,0.090847,0.029417,0.178076,0.440289,0.474610,0.523959,0.444546,0.539570,0.370763,0.293065,0.257805,0.164271,0.289900,0.273670,0.077459,0.183380,0.554740,0.559692,0.553503,0.276344,0.312013,0.170495,0.115299,0.000000,0.286781,0.029938,0.425516
2000,-15.000,0.000,0.250,-22.009089,0,0.999996,0.999990,1.000000,0.999994,0.999998,0.000000,0.999966,1.000000,0.999992,0.496305,1.000000,1.000000,0.000000,0.586623,0.067839,0.131525,0.000005,0.000000,0.000000,0.154139,0.000000,0.000000,0.000000,0.188069,0.308880,0.420698,0.376153,0.249467,0.302120,0.247344,0.155912,0.201272,0.248940,0.135144,0.070099,0.155599,0.313526,0.228615,0.253727,0.289105,0.285084,0.168099,0.189981,0.137504,0.003157,0.196635,0.167645,0.067697,0.008470,0.650516,0.317016,0.415859,0.327126,0.374220,0.215206,0.052131,0.000000,0.119277,0.042101,0.443499
2000,-10.000,0.000,0.250,-21.261954,0,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.999999,1.000000,0.066857,0.437187,0.091910,0.039533,0.054260,0.000000,0.000000,0.000084,0.000000,0.027549,0.000000,0.280070,0.403729,0.456358,0.382930,0.328151,0.352167,0.193704,0.279123,0.245274,0.245289,0.203652,0.134612,0.163590,0.292866,0.194230,0.179390,0.288810,0.301604,0.106016,0.165201,0.118011,0.011917,0.202329,0.151100,0.167266,0.000000,0.807588,0.403081,0.196111,0.225885,0.296764,0.159905,0.000000,0.000000,0.001870,0.052219,0.527914
2000,-5.000,0.000,0.500,-19.455068,0,0.000000,1.000000,0.871252,0.999324,0.999992,0.000000,0.200503,0.964085,0.000000,0.963920,0.973778,0.999990,0.470859,0.999881,0.314799,0.355107,0.342965,0.000000,0.040909,0.000000,0.000000,0.293832,0.000000,0.689746,0.826308,0.999912,0.978822,0.748920,0.859145,0.281010,0.684971,0.540960,0.512931,0.474176,0.511950,0.377155,0.621493,0.591050,0.509777,0.789882,0.590621,0.237790,0.285065,0.285243,0.092280,0.267806,0.245142,0.492918,0.000000,1.000000,0.386581,0.061267,0.000000,0.000000,0.153157,0.000000,0.000000,0.745667,0.000000,0.924369
