distance_m,az_deg,el_deg,mode,max_sidelobe_db,dbc,dbc_improvement_db,gain_loss_db,dbc_gain_margin_db,p99_sidelobe_db,p99_dbc,p99_dbc_improvement_db,p99_dbc_gain_margin_db,p95_sidelobe_db,target_gain_delta_db,mean_amp,min_amp,max_amp
0.5,0.0,0.0,unit_cosine,-10.893799,10.893799,0.278930,1.051341,-0.772411,-11.706227,11.706227,0.236023,-0.815318,-14.259535,-1.051341,0.780208,0.575000,1.000000
0.5,0.0,0.0,unit_cosine_hamming,-5.487152,5.487152,-5.127717,11.196482,-16.324199,-7.055458,7.055458,-4.414746,-15.611228,-8.615306,-11.196482,0.241867,0.046000,1.000000
0.5,0.0,0.0,optimized_dbc_margin,-12.775775,12.775775,2.160906,2.053371,0.107535,-14.789972,14.789972,3.319768,1.266397,-16.206909,-2.053371,0.685673,0.000000,1.000000
0.5,0.0,0.0,optimized_table,-12.703083,12.703083,2.088214,5.019687,-2.931474,-15.697766,15.697766,4.227562,-0.792126,-16.586201,-5.019687,0.499025,0.000000,1.000000
0.5,0.0,0.0,optimized_aggressive,-12.609843,12.609843,1.994974,5.084540,-3.089566,-15.759550,15.759550,4.289346,-0.795193,-16.629612,-5.084540,0.478727,0.000000,1.000000
0.5,5.0,0.0,uniform,-9.926503,9.926503,0.000000,0.000000,0.000000,-11.627672,11.627672,0.000000,0.000000,-14.447268,0.000000,1.000000,1.000000,1.000000
0.5,5.0,0.0,unit_cosine,-10.950673,10.950673,1.024169,1.220223,-0.196054,-11.672769,11.672769,0.045098,-1.175126,-14.319557,-1.220223,0.777091,0.501200,0.993543
0.5,5.0,0.0,unit_cosine_hamming,-5.491561,5.491561,-4.434942,11.365549,-15.800491,-6.882971,6.882971,-4.744701,-16.110250,-8.765753,-11.365549,0.240901,0.040096,0.993543
0.5,5.0,0.0,optimized_dbc_margin,-13.328421,13.328421,3.401917,2.023546,1.378372,-14.544663,14.544663,2.916991,0.893445,-16.131204,-2.023546,0.721699,0.000000,1.000000
0.5,5.0,0.0,optimized_table,-12.919671,12.919671,2.993168,6.020600,-3.027433,-16.176273,16.176273,4.548601,-1.471999,-17.151819,-6.020600,0.482288,0.000000,0.999995
0.5,5.0,0.0,optimized_aggressive,-12.839880,12.839880,2.913377,9.718776,-6.805399,-16.078389,16.078389,4.450718,-5.268059,-17.353546,-9.718776,0.345959,0.000000,1.000000
0.5,10.0,0.0,uniform,-9.776528,9.776528,0.000000,0.000000,0.000000,-11.606305,11.606305,0.000000,0.000000,-14.419342,0.000000,1.000000,1.000000,1.000000
0.5,10.0,0.0,unit_cosine,-10.868999,10.868999,1.092471,1.743566,-0.651096,-11.582631,11.582631,-0.023675,-1.767241,-14.379519,-1.743566,0.767833,0.429641,0.974369
0.5,10.0,0.0,unit_cosine_hamming,-5.480852,5.480852,-4.295676,11.905223,-16.200899,-6.468330,6.468330,-5.137976,-17.043199,-8.581807,-11.905223,0.238031,0.034371,0.974369
0.5,10.0,0.0,optimized_dbc_margin,-13.256834,13.256834,3.480305,2.079325,1.400980,-14.492282,14.492282,2.885976,0.806651,-15.910935,-2.079325,0.743277,0.000000,1.000000
0.5,10.0,0.0,optimized_table,-13.046560,13.046560,3.270032,6.020635,-2.750603,-15.914435,15.914435,4.308130,-1.712505,-17.056253,-6.020635,0.502780,0.000000,1.000000
0.5,10.0,0.0,optimized_aggressive,-12.944127,12.944127,3.167599,12.041199,-8.873600,-16.124287,16.124287,4.517982,-7.523217,-17.382700,-12.041199,0.282775,0.000000,1.000000
0.5,14.999999999999998,0.0,uniform,-10.519359,10.519359,0.000000,0.000000,0.000000,-11.904598,11.904598,0.000000,0.000000,-14.702837,0.000000,1.000000,1.000000,1.000000
0.5,14.999999999999998,0.0,unit_cosine,-11.073711,11.073711,0.554352,2.569919,-2.015567,-12.071806,12.071806,0.167208,-2.402711,-15.018263,-2.569919,0.752715,0.362500,0.985518
0.5,14.999999999999998,0.0,unit_cosine_hamming,-5.521997,5.521997,-4.997362,12.712202,-17.709564,-6.350625,6.350625,-5.553974,-18.266176,-9.030478,-12.712202,0.233344,0.029000,0.985518
